,main_title,title,variable,value
0,１．国 家 機 関 費,皇室費,1997,6686157
1,１．国 家 機 関 費,国会費,1997,123019403
2,１．国 家 機 関 費,選挙費,1997,3534438
3,１．国 家 機 関 費,司法、警察及び消防費,1997,1319365876
4,１．国 家 機 関 費,外交費,1997,831845677
5,１．国 家 機 関 費,一般行政費,1997,1054750965
6,１．国 家 機 関 費,徴税費,1997,750676414
7,１．国 家 機 関 費,貨幣製造費,1997,0
8,２．地 方 財 政 費,地方財政調整費,1997,15480975000
9,２．地 方 財 政 費,元利補給,1997,4788629
10,２．地 方 財 政 費,その他,1997,18154342
11,４．国土保全及び開発費,国土保全費,1997,1721545393
12,４．国土保全及び開発費,国土開発費,1997,6958533832
13,４．国土保全及び開発費,災害対策費,1997,391141566
14,４．国土保全及び開発費,試験研究費,1997,30959085
15,４．国土保全及び開発費,その他,1997,108018637
16,５．産 業 経 済 費,農林水産業費,1997,1206587157
17,５．産 業 経 済 費,商工鉱業費,1997,1315778918
18,５．産 業 経 済 費,運輸通信費,1997,208374214
19,５．産 業 経 済 費,産業投資特別会計へ繰入,1997,164913770
20,５．産 業 経 済 費,物資及び物価調整費,1997,344421263
21,６．教 育 文 化 費,学校教育費,1997,5393743949
22,６．教 育 文 化 費,社会教育及び文化費,1997,156345841
23,６．教 育 文 化 費,科学振興費,1997,695028475
24,６．教 育 文 化 費,災害対策費,1997,14951030
25,７．社会保障関係費,社会保険費,1997,9270396196
26,７．社会保障関係費,生活保護費,1997,1248688174
27,７．社会保障関係費,社会福祉費,1997,4366879520
28,７．社会保障関係費,住宅対策費,1997,1542271919
29,７．社会保障関係費,失業対策費,1997,34216887
30,７．社会保障関係費,保健衛生費,1997,975636061
31,７．社会保障関係費,試験研究費,1997,68965463
32,７．社会保障関係費,災害対策費,1997,17213267
33,７．社会保障関係費,その他,1997,36803652
34,８．恩　　給　　費,文官恩給費,1997,77805542
35,８．恩　　給　　費,旧軍人遺族等恩給費,1997,1405830065
36,８．恩　　給　　費,その他,1997,112515677
37,３．防 衛 関 係 費,３．防 衛 関 係 費,1997,4975677697
38,９．国　　債　　費,９．国　　債　　費,1997,15925814652
39,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,1997,0
40,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,1997,0
41,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1997,0
42,12．予　　備　　費,12．予　　備　　費,1997,0
43,13．そ　　の　　他,13．そ　　の　　他,1997,107446364
44,３．防 衛 関 係 費,３．防 衛 関 係 費,1997,4975677697
45,９．国　　債　　費,９．国　　債　　費,1997,15925814652
46,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,1997,0
47,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,1997,0
48,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1997,0
49,12．予　　備　　費,12．予　　備　　費,1997,0
50,13．そ　　の　　他,13．そ　　の　　他,1997,107446364
51,３．防 衛 関 係 費,３．防 衛 関 係 費,1997,4975677697
52,９．国　　債　　費,９．国　　債　　費,1997,15925814652
53,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,1997,0
54,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,1997,0
55,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1997,0
56,12．予　　備　　費,12．予　　備　　費,1997,0
57,13．そ　　の　　他,13．そ　　の　　他,1997,107446364
58,１．国 家 機 関 費,皇室費,1998,6643501
59,１．国 家 機 関 費,国会費,1998,131142130
60,１．国 家 機 関 費,選挙費,1998,57491037
61,１．国 家 機 関 費,司法、警察及び消防費,1998,1399227861
62,１．国 家 機 関 費,外交費,1998,861739833
63,１．国 家 機 関 費,一般行政費,1998,1049312336
64,１．国 家 機 関 費,徴税費,1998,775282398
65,１．国 家 機 関 費,貨幣製造費,1998,0
66,２．地 方 財 政 費,地方財政調整費,1998,14304580000
67,２．地 方 財 政 費,元利補給,1998,3441917
68,２．地 方 財 政 費,その他,1998,18216295
69,４．国土保全及び開発費,国土保全費,1998,2048317970
70,４．国土保全及び開発費,国土開発費,1998,8356854944
71,４．国土保全及び開発費,災害対策費,1998,501965174
72,４．国土保全及び開発費,試験研究費,1998,24319316
73,４．国土保全及び開発費,その他,1998,121334633
74,５．産 業 経 済 費,農林水産業費,1998,1252271517
75,５．産 業 経 済 費,商工鉱業費,1998,2296985217
76,５．産 業 経 済 費,運輸通信費,1998,409892628
77,５．産 業 経 済 費,産業投資特別会計へ繰入,1998,541385000
78,５．産 業 経 済 費,物資及び物価調整費,1998,409862235
79,６．教 育 文 化 費,学校教育費,1998,5923375885
80,６．教 育 文 化 費,社会教育及び文化費,1998,166201032
81,６．教 育 文 化 費,科学振興費,1998,969756924
82,６．教 育 文 化 費,災害対策費,1998,4292751
83,７．社会保障関係費,社会保険費,1998,9032409327
84,７．社会保障関係費,生活保護費,1998,1297706827
85,７．社会保障関係費,社会福祉費,1998,4754427051
86,７．社会保障関係費,住宅対策費,1998,1638093203
87,７．社会保障関係費,失業対策費,1998,94470991
88,７．社会保障関係費,保健衛生費,1998,1032533677
89,７．社会保障関係費,試験研究費,1998,74925152
90,７．社会保障関係費,災害対策費,1998,8963574
91,７．社会保障関係費,その他,1998,35233192
92,８．恩　　給　　費,文官恩給費,1998,71651861
93,８．恩　　給　　費,旧軍人遺族等恩給費,1998,1367620046
94,８．恩　　給　　費,その他,1998,108202261
95,３．防 衛 関 係 費,３．防 衛 関 係 費,1998,4982414986
96,９．国　　債　　費,９．国　　債　　費,1998,17698532948
97,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,1998,0
98,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,1998,0
99,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1998,0
100,12．予　　備　　費,12．予　　備　　費,1998,0
101,13．そ　　の　　他,13．そ　　の　　他,1998,560720538
102,３．防 衛 関 係 費,３．防 衛 関 係 費,1998,4982414986
103,９．国　　債　　費,９．国　　債　　費,1998,17698532948
104,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,1998,0
105,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,1998,0
106,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1998,0
107,12．予　　備　　費,12．予　　備　　費,1998,0
108,13．そ　　の　　他,13．そ　　の　　他,1998,560720538
109,３．防 衛 関 係 費,３．防 衛 関 係 費,1998,4982414986
110,９．国　　債　　費,９．国　　債　　費,1998,17698532948
111,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,1998,0
112,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,1998,0
113,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1998,0
114,12．予　　備　　費,12．予　　備　　費,1998,0
115,13．そ　　の　　他,13．そ　　の　　他,1998,560720538
116,１．国 家 機 関 費,皇室費,1999,6832632
117,１．国 家 機 関 費,国会費,1999,138585747
118,１．国 家 機 関 費,選挙費,1999,3258220
119,１．国 家 機 関 費,司法、警察及び消防費,1999,1408610493
120,１．国 家 機 関 費,外交費,1999,888920739
121,１．国 家 機 関 費,一般行政費,1999,1055053630
122,１．国 家 機 関 費,徴税費,1999,772413149
123,１．国 家 機 関 費,貨幣製造費,1999,0
124,２．地 方 財 政 費,地方財政調整費,1999,13084335000
125,２．地 方 財 政 費,元利補給,1999,2442715
126,２．地 方 財 政 費,その他,1999,18234008
127,４．国土保全及び開発費,国土保全費,1999,2007032641
128,４．国土保全及び開発費,国土開発費,1999,8047536209
129,４．国土保全及び開発費,災害対策費,1999,692223621
130,４．国土保全及び開発費,試験研究費,1999,30958173
131,４．国土保全及び開発費,その他,1999,306218443
132,５．産 業 経 済 費,農林水産業費,1999,1221337316
133,５．産 業 経 済 費,商工鉱業費,1999,1853123935
134,５．産 業 経 済 費,運輸通信費,1999,301480898
135,５．産 業 経 済 費,産業投資特別会計へ繰入,1999,222877952
136,５．産 業 経 済 費,物資及び物価調整費,1999,412706933
137,６．教 育 文 化 費,学校教育費,1999,5638045240
138,６．教 育 文 化 費,社会教育及び文化費,1999,155497370
139,６．教 育 文 化 費,科学振興費,1999,879033323
140,６．教 育 文 化 費,災害対策費,1999,2155883
141,７．社会保障関係費,社会保険費,1999,10862332795
142,７．社会保障関係費,生活保護費,1999,1397921379
143,７．社会保障関係費,社会福祉費,1999,5956772531
144,７．社会保障関係費,住宅対策費,1999,1549380992
145,７．社会保障関係費,失業対策費,1999,344524832
146,７．社会保障関係費,保健衛生費,1999,1026914018
147,７．社会保障関係費,試験研究費,1999,77724981
148,７．社会保障関係費,災害対策費,1999,10346465
149,７．社会保障関係費,その他,1999,37142330
150,８．恩　　給　　費,文官恩給費,1999,65927556
151,８．恩　　給　　費,旧軍人遺族等恩給費,1999,1320679417
152,８．恩　　給　　費,その他,1999,97470650
153,３．防 衛 関 係 費,３．防 衛 関 係 費,1999,4923268867
154,９．国　　債　　費,９．国　　債　　費,1999,20271924397
155,10.経済危機対応・地域活性化予備費,10.経済危機対応・地域活性化予備費,1999,0
156,11.東日本大震災復旧・復興予備費,11.東日本大震災復旧・復興予備費,1999,0
157,12.熊本地震復旧等予備費,12.熊本地震復旧等予備費,1999,0
158,12．予　　備　　費,12．予　　備　　費,1999,0
159,13．そ　　の　　他,13．そ　　の　　他,1999,1946185898
