,title,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,main_title
0,皇室費,6686157,6643501,6832632,9366209,7408714,7089358,6721568,6965778,6849417,6591482,6569224,6613183,6137774,5491398,6026580,5965628,5774431,6151561,5800414,5351842,6776077,9678519,１．国 家 機 関 費
1,国会費,123019403,131142130,138585747,146463865,154158813,133486528,127362960,127144108,123122693,122817737,122136741,122660956,126258243,151426912,135321370,128495174,125668672,132043907,134301666,132560410,133287519,136393763,１．国 家 機 関 費
2,選挙費,3534438,57491037,3258220,73263020,63135863,5853557,71775157,61379786,69799237,1328890,59141967,702891,68788324,52100534,319976,59452810,50432786,56412418,1643113,53738213,59832965,143469,１．国 家 機 関 費
3,司法、警察及び消防費,1319365876,1399227861,1408610493,1453162305,1410079489,1386978225,1390638515,1384424712,1411240550,1431981688,1468295392,1496556058,1533909368,1472709759,1597209034,1480602910,1524285156,1502880959,1514804508,1573470081,1560110218,1629272958,１．国 家 機 関 費
4,外交費,831845677,861739833,888920739,865866900,864050579,810000539,844190419,905133307,836553817,847587839,880421187,914480244,955076436,879664492,821449422,783527090,850286829,870024473,906512055,924167345,888687574,878467212,１．国 家 機 関 費
5,一般行政費,1054750965,1049312336,1055053630,1471169953,1542488050,1168330494,1133725132,1170472827,1208907002,1143095541,1184175331,1123358027,1582842125,1611829588,1574741294,1164515329,1571959844,1502453529,1708495119,1497159393,1383405116,1349839809,１．国 家 機 関 費
6,徴税費,750676414,775282398,772413149,783476331,804571086,796890961,786365382,787768965,785154239,790800136,793981869,790069461,785667031,757349796,778969916,732703934,725193651,775835905,775425294,778734855,778866035,789261980,１．国 家 機 関 費
7,貨幣製造費,0,0,0,0,0,0,21741568,21023726,18573897,16991552,16020716,15969581,15410921,14574753,14465587,14292805,13747892,14828881,14891355,14774292,14697699,14802080,１．国 家 機 関 費
8,地方財政調整費,15480975000,14304580000,13084335000,15828908673,16705603842,16479108000,17398800109,17662126706,17440562423,16700970439,14931618000,15679227889,16573294000,18790321916,19450671876,16884650453,17553472754,17096255371,16800803231,15339274500,15567103800,16025781000,２．地 方 財 政 費
9,元利補給,4788629,3441917,2442715,1616353,54806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,２．地 方 財 政 費
10,その他,18154342,18216295,18234008,18936408,20012086,21726094,28358256,41358066,63511885,60120010,78687478,23700518,22610253,19530645,18816682,16340295,21836248,89519898,87510979,81986902,77698058,73542993,２．地 方 財 政 費
11,国土保全費,1721545393,2048317970,2007032641,1905879142,1681665637,1491943715,1532135722,1550967333,1372264386,1166257713,1207839514,1108593617,1710225549,852171805,901936274,843858285,1380337210,1163296905,1005727842,1127020588,1028938132,1091578347,４．国土保全及び開発費
12,国土開発費,6958533832,8356854944,8047536209,7634224452,7073334122,5995343956,6279771313,5929070213,5654324870,5103720304,4834852349,4827150645,5577784331,4569619640,4436959937,4017612175,5927713449,5622921120,5005197238,5195409024,5356030795,5248379432,４．国土保全及び開発費
13,災害対策費,391141566,501965174,692223621,545045814,363817506,318527513,280161705,385845654,713655812,464926629,340993608,210860372,120307028,109508094,605512540,746503357,446469955,217111910,185728064,249515094,333499401,442550864,４．国土保全及び開発費
14,試験研究費,30959085,24319316,30958173,38933772,33792900,31830630,43556664,43629057,40988613,38710387,39710574,47163287,49527978,48424323,51869175,49295376,49462684,55744293,49299430,48318822,49594809,49165936,４．国土保全及び開発費
15,その他,108018637,121334633,306218443,111993598,119399958,125586115,112514562,145983069,160973787,164276898,152793459,120577119,104971041,90648139,426471058,104460610,83114936,158961489,142014505,125771991,126892539,139800259,４．国土保全及び開発費
16,農林水産業費,1206587157,1252271517,1221337316,1221359331,1145645814,1144369374,1122007415,1178504622,1137020845,1074547250,1373071060,1525768562,1699720167,1577571490,1900064183,1904302947,1693693722,1475251108,1764817172,1561248382,1629895317,1588375531,５．産 業 経 済 費
17,商工鉱業費,1315778918,2296985217,1853123935,1981159488,1485677972,1544218866,1167016089,1215945264,1045085765,1025262180,1434363777,2111459087,5365096470,2232635850,4309777520,2529308441,1503287855,1714027146,1312462772,1747455643,1257064799,1444345004,５．産 業 経 済 費
18,運輸通信費,208374214,409892628,301480898,334461890,268274058,241109339,320667195,341798431,268579549,244865900,214357644,215789861,465418930,374458521,244926517,221851938,276095747,212621503,201620788,212357991,192966905,199478203,５．産 業 経 済 費
19,産業投資特別会計へ繰入,164913770,541385000,222877952,158560249,664460772,2033555558,102475841,119168989,178636456,48054000,20286000,0,0,0,0,0,0,0,0,0,0,0,５．産 業 経 済 費
20,物資及び物価調整費,344421263,409862235,412706933,416140838,462388994,457999862,501129022,392973859,368905613,342150398,117700423,96313086,113680177,80360428,206960893,172214968,90673272,107388881,89198017,81690957,77544344,77079133,５．産 業 経 済 費
21,学校教育費,5393743949,5923375885,5638045240,5612665712,5480839525,5498487609,5114354082,4851907469,4735025520,3954622830,4030796694,4028748377,4277937107,4435153637,4403657958,4360005951,4322831229,4184132336,4010909036,3997265117,4066936446,4015081795,６．教 育 文 化 費
22,社会教育及び文化費,156345841,166201032,155497370,190153526,115316587,122132929,159076242,138226284,138394620,134681163,135459729,143303986,240870820,165246423,141783529,151447233,144413091,160125694,144657397,157942229,175929358,149671080,６．教 育 文 化 費
23,科学振興費,695028475,969756924,879033323,925335049,816322995,829966014,920011468,925399214,904768692,918452821,1095938168,1107584491,1350860927,1150377063,1208770384,1200556780,1322407872,1188962523,1142164443,1196517792,1188002101,1302739709,６．教 育 文 化 費
24,災害対策費,14951030,4292751,2155883,1699897,2681165,1833394,1300835,5409422,4975442,2508815,1141695,1158259,277538,390642,33352337,38448841,9837279,1004263,1192687,4031006,11284762,12891289,６．教 育 文 化 費
25,社会保険費,9270396196,9032409327,10862332795,11380261712,14658715588,14838713496,15145960692,15693864008,16021117121,16154901543,16876379258,17752625357,21627034591,21203658477,22017175091,22176160679,22395684023,23316288715,23844252037,24162813487,24515306267,24771233204,７．社会保障関係費
26,生活保護費,1248688174,1297706827,1397921379,1483656288,1581977268,1676919113,1810222567,1940892202,1973779699,2006226935,1982010516,2047260619,2289059977,2459870813,2732261280,2774269105,2795120764,2800101773,2822880460,2825962544,2815581645,2763347070,７．社会保障関係費
27,社会福祉費,4366879520,4754427051,5956772531,4118305895,2005755822,1862655899,1977605995,1843226968,1873942309,1656781704,1605044700,1978524635,2690047261,2101858243,2237655219,2369653563,2239804504,2499103114,3060428107,3561728854,3566572817,2498038942,７．社会保障関係費
28,住宅対策費,1542271919,1638093203,1549380992,1338465634,1200500118,992455170,967276410,941670565,827416742,722012638,664292764,618217463,1084011146,237380022,170439650,126893928,137761485,230218816,149387651,159113953,165807948,154093020,７．社会保障関係費
29,失業対策費,34216887,94470991,344524832,96482292,435350349,544600054,38659756,37297701,35572754,38461734,32261388,180563672,824387637,445094917,461160874,259987009,165774964,22010118,20462851,21128138,16906520,17947210,７．社会保障関係費
30,保健衛生費,975636061,1032533677,1026914018,1030477020,1040545799,860047051,848474351,879994010,806543083,697427068,606711030,569989878,1290692754,783006044,885242821,499188288,591471852,581272391,623320586,608418593,627969676,650199220,７．社会保障関係費
31,試験研究費,68965463,74925152,77724981,82628142,103589866,97807442,114087320,107852938,103374956,105568013,110669924,116042098,115117717,114181752,109514599,116751060,123449367,123296437,73200631,68182517,73903393,65551809,７．社会保障関係費
32,災害対策費,17213267,8963574,10346465,7220686,3388509,1316752,2612688,31627951,11635501,4460306,14773440,2497436,1634904,31088862,869031862,327111214,70796686,5321916,5645323,119779230,61131019,49887828,７．社会保障関係費
33,その他,36803652,35233192,37142330,141040189,209905667,212029950,212217618,318548483,342633532,254887435,274601488,272487835,275550990,1565147418,1721220584,1348058077,1326810360,1281133776,1328106275,1309908642,1264124061,2138404341,７．社会保障関係費
34,文官恩給費,77805542,71651861,65927556,60724661,56228511,51363993,46737756,42678127,38765243,34335054,30951380,27425159,25562184,22011244,19179181,16881490,14909586,13078852,11266607,9779220,8483251,7339314,８．恩　　給　　費
35,旧軍人遺族等恩給費,1405830065,1367620046,1320679417,1267923769,1211854232,1154019982,1089989785,1028766590,966051284,901858877,840079649,776771214,713941880,651424296,587699948,525214646,464917252,408930998,355956676,308118566,262608937,221515501,８．恩　　給　　費
36,その他,112515677,108202261,97470650,88735026,81405806,75806086,69667572,63873689,59628739,54827843,68954592,50838692,40309792,35078120,30874094,27570187,23673530,20787351,19014969,16151421,13949358,11754611,８．恩　　給　　費
37,３．防 衛 関 係 費,4975677697,4982414986,4923268867,4931354728,4993022486,4943816744,4951477751,4921492949,4900978100,4838999823,4778565357,4823873909,4831771933,4678220145,4824861715,4770980200,4802875442,5073428675,5141147921,5162012628,5286811260,5487851505,３．防 衛 関 係 費
38,９．国　　債　　費,15925814652,17698532948,20271924397,21446082307,15828895417,15600307856,15544023946,17514898571,18735950593,18036873531,19290408668,19166464213,18444821997,19543900165,19627720861,21010678991,21293507626,22185692730,22463534769,22085592882,22520820705,22528601809,９．国　　債　　費
39,10.経済危機対応・地域活性化予備費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.経済危機対応・地域活性化予備費
40,11.東日本大震災復旧・復興予備費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.東日本大震災復旧・復興予備費
41,12.熊本地震復旧等予備費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.熊本地震復旧等予備費
42,12．予　　備　　費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12．予　　備　　費
43,13．そ　　の　　他,107446364,560720538,1946185898,117848770,114811714,116061688,131099215,137464675,134327404,132535572,126513456,596003290,3972807075,1998855325,1151337298,3127364837,4049324814,1944845682,1306542097,1017311678,950583079,940610781,13．そ　　の　　他
44,３．防 衛 関 係 費,4975677697,4982414986,4923268867,4931354728,4993022486,4943816744,4951477751,4921492949,4900978100,4838999823,4778565357,4823873909,4831771933,4678220145,4824861715,4770980200,4802875442,5073428675,5141147921,5162012628,5286811260,5487851505,３．防 衛 関 係 費
45,９．国　　債　　費,15925814652,17698532948,20271924397,21446082307,15828895417,15600307856,15544023946,17514898571,18735950593,18036873531,19290408668,19166464213,18444821997,19543900165,19627720861,21010678991,21293507626,22185692730,22463534769,22085592882,22520820705,22528601809,９．国　　債　　費
46,10.経済危機対応・地域活性化予備費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.経済危機対応・地域活性化予備費
47,11.東日本大震災復旧・復興予備費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.東日本大震災復旧・復興予備費
48,12.熊本地震復旧等予備費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.熊本地震復旧等予備費
49,12．予　　備　　費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12．予　　備　　費
50,13．そ　　の　　他,107446364,560720538,1946185898,117848770,114811714,116061688,131099215,137464675,134327404,132535572,126513456,596003290,3972807075,1998855325,1151337298,3127364837,4049324814,1944845682,1306542097,1017311678,950583079,940610781,13．そ　　の　　他
51,３．防 衛 関 係 費,4975677697,4982414986,4923268867,4931354728,4993022486,4943816744,4951477751,4921492949,4900978100,4838999823,4778565357,4823873909,4831771933,4678220145,4824861715,4770980200,4802875442,5073428675,5141147921,5162012628,5286811260,5487851505,３．防 衛 関 係 費
52,９．国　　債　　費,15925814652,17698532948,20271924397,21446082307,15828895417,15600307856,15544023946,17514898571,18735950593,18036873531,19290408668,19166464213,18444821997,19543900165,19627720861,21010678991,21293507626,22185692730,22463534769,22085592882,22520820705,22528601809,９．国　　債　　費
53,10.経済危機対応・地域活性化予備費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.経済危機対応・地域活性化予備費
54,11.東日本大震災復旧・復興予備費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.東日本大震災復旧・復興予備費
55,12.熊本地震復旧等予備費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.熊本地震復旧等予備費
56,12．予　　備　　費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12．予　　備　　費
57,13．そ　　の　　他,107446364,560720538,1946185898,117848770,114811714,116061688,131099215,137464675,134327404,132535572,126513456,596003290,3972807075,1998855325,1151337298,3127364837,4049324814,1944845682,1306542097,1017311678,950583079,940610781,13．そ　　の　　他
